gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ID1	7.487794875941464	3.6035023542911877	12.728999131803473	2.2694523995158237e-08	3.973196508194005e-06	9.812515632140663
HOMER2	2.436353336177989	3.955979315415316	12.609740318174651	2.5245692035294325e-08	4.157545404138569e-06	9.697551172984776
ZIC1	8.38001947489871	1.5307524947867113	12.481416584274873	2.833980395626537e-08	4.579875818201463e-06	9.40412185912249
DLX6	7.216825762233061	0.26633862842644096	12.393447693266024	3.06955772968064e-08	4.86698648705118e-06	9.106284562619024
ONECUT2	7.789485255709337	1.0897412085885998	12.118436395388823	3.9525610838683665e-08	6.150990197831077e-06	9.040003438352944
CRACR2A	2.595073522058029	3.8803173402568825	12.055379334306087	4.191380143643535e-08	6.404047824928808e-06	9.191514603185851
OSBPL3	2.14275199432967	5.656040393728802	12.029790917300028	4.292682624771166e-08	6.499740258966575e-06	9.058631787532171
KIAA1217	2.9662012555147266	3.7666619757202247	12.015604236618472	4.3499794611020544e-08	6.52768792881627e-06	9.159896727416122
SLC25A22	1.6071130889204461	5.420063640575649	11.900497186272096	4.846475547889764e-08	7.145150397665199e-06	8.94189791181083
SLC1A5	1.871516360152393	7.706976283128471	11.776595617862958	5.4498748267210827e-08	7.633003851058437e-06	8.80345049984191
HOXD13	9.034115898918394	1.6408526161648191	11.562331792017604	6.692669341978876e-08	9.145015742328373e-06	8.638798211235347
ULBP3	3.344338272168759	1.257260059965788	11.486189884444093	7.205101617576695e-08	9.68769143092892e-06	8.525597495653724
CXCL8	8.65366428096843	2.043174204071873	11.475538782082076	7.280084604406283e-08	9.710823963988602e-06	8.602370716286027
RPL39P5	4.021877219172173	1.927876378960555	11.383754964452804	7.962127834084154e-08	1.0395539874906949e-05	8.507689307381504
BRSK2	3.9925905961764774	3.079409237985547	11.362900637738488	8.126486825299146e-08	1.0395539874906949e-05	8.553118335850256
LIF	10.08985084053626	3.171225975399121	11.358139221222958	8.164522303133916e-08	1.0395539874906949e-05	8.548485555596642
AK4	3.962634567576994	5.366877391421366	11.345423855956517	8.267037601214399e-08	1.0446924884481985e-05	8.391161750546884
FHL2	2.053154423751111	6.745506037703463	11.224849546803643	9.310916057202912e-08	1.1468476403443768e-05	8.243103972336577
KITLG	2.9421012239563162	4.249502823930069	11.222139047353803	9.335953245852357e-08	1.1468476403443768e-05	8.349843841701773
GBX2	5.537799785929314	-0.06031231515444524	11.220797257498559	9.348374292091367e-08	1.1468476403443768e-05	8.090477659337319
DYSF	4.803120881620819	1.5028651755352576	11.182113674334403	9.714222782822516e-08	1.174582318783439e-05	8.28066338502405
DSG2	2.5582933215637595	6.578520840527998	11.141091754063972	1.0119070407246774e-07	1.2147944023899753e-05	8.156059493773538
MYO5B	8.375626929144001	1.941196602873049	11.031787527545593	1.1289044923467633e-07	1.3268180281728708e-05	8.181189154776273
SLC20A1	2.7820424736359035	8.108589084194799	11.000771272282993	1.1646944350794472e-07	1.3500013358882944e-05	8.01707421286312
MAGEA4	13.013948205238677	3.8029869159778436	10.96615503386	1.2060843013765637e-07	1.3789563845738711e-05	8.128902125431981
AC009299.4	5.7602049315039325	-1.0616316263220176	10.791962267645694	1.4397970240511717e-07	1.613244572215203e-05	7.478569738947986
DNAJC22	2.2890806999025157	3.902177963443349	10.739477361713773	1.519427311063098e-07	1.668934462084016e-05	7.885531965142585
RAP1GAP2	8.419117681069778	2.3843247391275577	10.720684891429128	1.5490794078961536e-07	1.668934462084016e-05	7.90692780756615
DLX1	6.602552098490563	3.476144439062961	10.708368334730574	1.568850326285578e-07	1.6794692633045674e-05	7.886824042963098
PI4K2B	1.764960958732297	4.277467704630314	10.624642537185633	1.71065160111712e-07	1.8061569352135e-05	7.7259737786025475
PRR7	3.0336194029671217	4.253480061474281	10.6197051999115	1.719433031678229e-07	1.8061569352135e-05	7.723226028320688
FGFR4	4.062806920144633	3.7560417555609455	10.591228551595542	1.771035529828189e-07	1.848807090051079e-05	7.7431039332695875
DHRS11	2.1162464939316377	3.7183962343074985	10.548563259523707	1.851488260735901e-07	1.904408581228472e-05	7.701320180573631
TSPAN13	6.637788350093969	4.102050674451077	10.412066199795538	2.1363776839681485e-07	2.1084402706317112e-05	7.5167625887492076
LHX6	6.77493564796094	0.21157392449800172	10.342854670013278	2.298525013823856e-07	2.2137778171503125e-05	7.351949771339853
IGF2BP2	1.3786449907086444	7.172953026191265	10.239018602118652	2.5670829575539275e-07	2.429525688852637e-05	7.187795728118324
HS3ST1	3.9252609283363866	-0.33312957805916393	10.23683939669921	2.573068201438504e-07	2.429525688852637e-05	7.16372619424352
CAMK4	4.600473830873523	4.0319674817387385	10.21346428669984	2.6382194397575887e-07	2.477125928715407e-05	7.308113839055706
PVR	1.9407965526540059	6.859411487494976	10.168904732040719	2.7673758157805424e-07	2.5416002915750586e-05	7.107849833701912
HLA-DRB1	9.465850726206831	2.7153683896806142	10.08756445058668	3.0209864537964477e-07	2.6864401761352853e-05	7.2606955896239445
YARS	1.2310207905904482	7.55608158358064	10.057443603964078	3.121137897392531e-07	2.746437939344307e-05	6.985193544572079
HOXB9	4.925695380434891	3.55877552579154	10.046308399576443	3.15905985319307e-07	2.7653291121154125e-05	7.173482281051152
PLCB1	7.324689564345325	3.358075037091276	10.040082588826701	3.1804777752247274e-07	2.7659264799002377e-05	7.183059023122649
RFC5	1.6368004345877152	5.255351704220854	10.030054550855843	3.215304512813742e-07	2.7659264799002377e-05	6.985200148366163
TNC	7.802830891698582	8.729045954799174	9.926753982316827	3.598866320382265e-07	3.0243073123332362e-05	6.848393834378655
SLC25A10	1.7013718131206441	4.717298998551614	9.900150931862134	3.705408064903856e-07	3.098347927703438e-05	6.881318213165985
C1GALT1	1.2483888445746567	5.3531609837792535	9.850890934792687	3.9117317560824356e-07	3.222768412964583e-05	6.774803897715795
SLC41A2	2.6291411961368834	2.568926610900946	9.709057814597175	4.577759774325401e-07	3.6812635658893306e-05	6.852493268906166
CACHD1	1.3759850406426564	4.864029336310368	9.69315150836709	4.659722439470813e-07	3.729331192389807e-05	6.629360071201283
FOXC1	5.845200367777278	2.8883668413940655	9.622569970273311	5.042890952650562e-07	3.9320932746852794e-05	6.747914142372098
SPATA13	1.4495802100063226	5.543909373073339	9.6221920785444	5.045031191968609e-07	3.9320932746852794e-05	6.499001948616401
MOB4	1.4675329442186635	5.184757316029847	9.622155094084086	5.045240710651706e-07	3.9320932746852794e-05	6.520396507611029
UQCRH	1.122709616009356	7.789984625807548	9.62070852922602	5.053442894817756e-07	3.9320932746852794e-05	6.4827948138330385
EYA1	7.661385672752387	0.9012936611174194	9.564874813500161	5.381218905110716e-07	4.141543367148101e-05	6.6426975067546286
FMNL2	3.345193872337379	6.262645876968532	9.551439364716318	5.463450256282547e-07	4.173827657151853e-05	6.396680170269406
TCEA1	1.0852174918669935	6.809565651281583	9.542109360555887	5.521346812690086e-07	4.1825736771631254e-05	6.385396052870778
IMP4	1.3691546471506832	6.791694091073803	9.539596381377928	5.537053148211453e-07	4.1825736771631254e-05	6.382329651379702
PDK1	2.371905770641484	4.983365490600736	9.527647803026873	5.612391262627282e-07	4.2110473192400324e-05	6.425109071213489
TPST1	2.6171443087477733	4.395604340584175	9.517199078669838	5.679173942635641e-07	4.2234458607910276e-05	6.47374603997199
METAP2	1.4246297523901426	7.170191476433816	9.483405236232539	5.901067029271443e-07	4.369129231760579e-05	6.317610793339062
POLD1	1.3908757787935135	6.327376764716987	9.459427136078922	6.064140318963784e-07	4.4482896390959275e-05	6.286987917168601
FRMD3	4.210063215404045	1.7703793321128753	9.45376606284044	6.103341868741196e-07	4.4482896390959275e-05	6.563922500188493
SH2D5	6.68646630843545	1.2357561162095767	9.452255098595538	6.113850815916936e-07	4.4482896390959275e-05	6.541414154789387
TRIM36	2.543489608385575	2.7802730177976627	9.3823124094806	6.62220012740975e-07	4.6783462008083675e-05	6.480859889773371
LSM5	1.781018269712284	5.188420157972067	9.338876274004171	6.960579000444255e-07	4.819866272782013e-05	6.184300423727604
OR2W3	8.038621879081507	0.09423482547593999	9.337863246554305	6.968688667138865e-07	4.819866272782013e-05	6.338382405696218
CDC20	2.4249177579284575	7.1605010930782536	9.32152103120696	7.100923770071604e-07	4.851431943235506e-05	6.1238234562853915
FAM155B	6.90177808782719	0.1899135764472853	9.288842102819407	7.373487793702912e-07	4.9372991772416275e-05	6.296234577840323
MTHFD2	2.1145581805762594	7.154672821398373	9.278544077339221	7.461687853046193e-07	4.976531259767752e-05	6.071910648312359
PELO	1.1191645658701548	5.186375523527777	9.26894107653214	7.544954907695036e-07	5.012176171289742e-05	6.100277776031788
NOC2L	1.6573433238311361	7.649052489796632	9.25303050461905	7.68511493486449e-07	5.0851860909554134e-05	6.043199940556164
AGK	1.0531023401208426	5.838806976719614	9.231993160076232	7.874738663716048e-07	5.134338239578477e-05	6.021772988912749
VAX1	7.015031576597295	-0.1446382492522084	9.221478785329879	7.971386160410417e-07	5.167544517600765e-05	6.189981876204602
FAM216A	1.8170578785278066	4.376870554859753	9.219031922446414	7.994059466747182e-07	5.167544517600765e-05	6.121793516712478
PSMD11	1.0501474423051729	7.336761585449832	9.209830047847845	8.079947389963839e-07	5.1805558201104395e-05	5.989340970502826
NOS1AP	5.370600544531093	-0.3063136835305409	9.20698957497859	8.106659015226069e-07	5.1805558201104395e-05	6.154818566085078
KLHL23	3.8747063924565017	3.7606176028034075	9.153354642689543	8.629218182788986e-07	5.493608712050549e-05	6.125716994199742
CENPK	2.069703327861319	4.0806374605003	9.124465405610543	8.925545159363458e-07	5.660816509185722e-05	6.047758862582366
AKT1S1	0.9223909267341934	6.664114768352848	9.097254523710413	9.214647475955814e-07	5.806859653602685e-05	5.848495389669763
SEC14L2	2.776151807820588	3.9900200919796505	9.071340991658523	9.499311238831555e-07	5.93512728591234e-05	5.995981451850111
FEM1C	1.3205644156717549	5.343587897966615	9.04413702198125	9.808318267640604e-07	6.082966978754082e-05	5.815205848382792
CEBPZOS	1.3090747760992185	6.043905531964925	9.000767413586507	1.0323438562705126e-06	6.3555323048859e-05	5.7332930536905256
EMB	5.205984993009184	4.897479286157616	8.99027237375795	1.0452400206504767e-06	6.36090368546618e-05	5.7844651294745475
KCNN4	10.073201354908598	2.3798251211177406	8.988113600553682	1.0479140343356883e-06	6.36090368546618e-05	6.038212826746585
PLPP2	5.396012883731117	3.939269177762025	8.987758134306882	1.0483550430618978e-06	6.36090368546618e-05	5.901458550060023
LYPLA1	1.2564846371773646	6.27927204085639	8.970707288338009	1.0697444585503775e-06	6.464469963494124e-05	5.69290248150989
PSMD12	1.2719971698638313	6.205387649693792	8.968052482774345	1.0731166298654492e-06	6.464469963494124e-05	5.690258328950497
PLEKHN1	5.150133960567038	1.1538339021213073	8.959432425374896	1.0841447009058677e-06	6.507578567187471e-05	5.993915568666067
TUBA1C	2.017929393780271	9.074404327367215	8.914294925776487	1.143908501733313e-06	6.802124481728017e-05	5.644277455522957
TLK1	1.1354305360542067	5.586099828828579	8.900894847011179	1.162322915459622e-06	6.878577901454178e-05	5.624037620694404
FARSB	1.7533724629372687	6.71519311673327	8.887687699977182	1.1807832410810236e-06	6.96330664310483e-05	5.588806054517706
PTGES3	1.3599687764117174	8.404010943617735	8.836474685894574	1.2553919908022478e-06	7.164295743275342e-05	5.537052366733931
RP11-345J4.5	1.1804261148396948	5.660809531726115	8.835080584118618	1.2574922617160861e-06	7.164295743275342e-05	5.538115335862955
CXADR	2.8737587866732244	2.740502867453676	8.810765271707728	1.2947359527678195e-06	7.313472815662989e-05	5.812941304781766
BP-2189O9.2	4.000071928977098	-0.14599821591377027	8.809484315825028	1.2967304688924678e-06	7.313472815662989e-05	5.747626903019842
MAP3K9	2.8221489161474835	3.8271660029679757	8.790076759258543	1.3273550579554454e-06	7.461156006373636e-05	5.674099279159387
FAM160A1	3.7768569002774823	0.040422591398689985	8.78684958411909	1.332522124959818e-06	7.465233118066554e-05	5.739417902447046
SLC45A3	2.2142551481252157	3.141852876086078	8.75421830471613	1.385995294289748e-06	7.713385069909866e-05	5.713293398633448
PRKDC	1.1338390648225118	9.03182705088915	8.750382778657421	1.3924299489627252e-06	7.723620512282681e-05	5.43785335879046
CDH2	3.8567722698686495	5.641518186500691	8.712963198758347	1.456911938501672e-06	7.975999658109967e-05	5.384792020323942
RTN4	1.217825507218378	8.893341019886812	8.698524523860618	1.4826414178215032e-06	8.038307841718066e-05	5.370056251370398
TPD52	4.06244627248051	5.430022057397304	8.69445944588188	1.4899727747246912e-06	8.052081165529866e-05	5.372402335229777
C1ORF226	6.992264141237852	0.4724532563248097	8.67683814115711	1.5222045170630347e-06	8.173703296574577e-05	5.644280414470796
ZNRF3	2.221365368139515	4.03965982070464	8.668334680807906	1.5380248035331888e-06	8.232351233433855e-05	5.491241362454433
TP53TG3B	5.749189464680327	-1.6111504921267368	8.665387000501333	1.5435498333735074e-06	8.235695888732869e-05	5.3804404579121705
SCML2P1	4.09544750198979	-2.8391639376561386	8.642652153882972	1.5868839504928362e-06	8.440113467067436e-05	5.078225285909476
OSBPL6	1.3723193491674404	4.54943113388966	8.637092909169738	1.597677215328016e-06	8.470713235967812e-05	5.380355132334766
BMP8B	5.67174415083117	2.5349888578253545	8.616628306956887	1.6380913583730825e-06	8.630533373096049e-05	5.588771940305662
OSMR	4.247833542350052	5.215888104590845	8.60662598695385	1.6582411633696867e-06	8.655297898370909e-05	5.275006570448902
TRIM58	7.306045188560645	4.2138373528702315	8.602106212928861	1.6674331916167807e-06	8.67633116145611e-05	5.381946912109667
SEMA6B	6.692658766906974	2.3351583169194097	8.596191176172315	1.6795452973938956e-06	8.71238204114173e-05	5.572219903237915
ID3	6.358926706202795	4.480079250972813	8.566320636762779	1.74216615187496e-06	9.009411235249986e-05	5.299314297370028
YDJC	1.4351502378810417	5.05074033657899	8.552552988586626	1.7718659442659775e-06	9.12503631660355e-05	5.219282582126457
AAK1	1.1251457831132923	6.013686453269456	8.550162424491331	1.7770778950922642e-06	9.12503631660355e-05	5.164620964429128
CD22	6.481727768811014	2.340610522375171	8.541906657069534	1.795203819119324e-06	9.166209433264333e-05	5.505912834797355
WWC1	3.51867339837965	4.02642225376541	8.537387600556993	1.8052093308802846e-06	9.166209433264333e-05	5.3275610628266605
TTLL12	1.3502675938270094	6.789666840884772	8.534795900157672	1.8109744545103854e-06	9.167785438842182e-05	5.140802484033635
YRDC	1.5755703355066988	5.319503385026355	8.516873311066085	1.851385762041543e-06	9.31623967144677e-05	5.152088854099672
THOP1	1.536852440723968	6.3905106522931705	8.507568890655373	1.8727446838636916e-06	9.395588030357333e-05	5.105068911050207
DUXAP8	6.916585215684405	-0.7395484511291395	8.503510134471563	1.8821442982985792e-06	9.414642625447685e-05	5.344016699486993
TSR1	1.516496960761792	7.197942831383662	8.492342821085208	1.908268034803348e-06	9.47311191533715e-05	5.088132045774125
ATL2	1.4034925667422904	5.892084583043116	8.489293557498211	1.9154684347809497e-06	9.47311191533715e-05	5.089114471691502
SDF2L1	1.774636619263776	5.239065493099686	8.472229850622623	1.9563021958330385e-06	9.630991775636014e-05	5.10026357575193
QSOX2	1.303914945727576	5.915406095608725	8.46899212131941	1.9641547510458296e-06	9.630991775636014e-05	5.062173531165467
DMRTA1	7.239015278902029	0.5590162997903002	8.453411315666258	2.002417876587546e-06	9.783324782502e-05	5.389804942892577
SLAMF9	5.2735787921281565	-0.4917878711503004	8.445163077969347	2.022995972639183e-06	9.828892469830623e-05	5.307350721447005
C1QBP	1.4168139201255743	7.991550430418921	8.43929571957017	2.037771807706479e-06	9.841618037966319e-05	5.024189822409669
CD74	8.545674095701543	4.824006677404801	8.393040915084871	2.158379386203224e-06	0.00010335009214791334	5.035206399349409
MRPS12	1.228119474421809	5.716201153546029	8.382255987837114	2.1875845271022004e-06	0.00010373765272852397	4.955853377167985
ADAM19	3.086209150202846	4.526683732582526	8.376178398010918	2.2042283921724378e-06	0.00010406310839112967	5.0482230279046725
FBP2	4.411883148652399	-2.6054950746656758	8.36476391992126	2.2358549170516033e-06	0.00010496525273047179	4.864398239598272
NLE1	1.3459437742377247	5.144010294320336	8.354821776649192	2.2637976470733317e-06	0.00010539514419490716	4.955006556534599
CASZ1	3.759181076557741	-0.8941792277498801	8.31097185005561	2.3915731890043713e-06	0.00011060081127944477	5.110384391827441
SFXN1	1.495133313053148	6.708720629887824	8.308846829324832	2.3979581775019974e-06	0.00011060081127944477	4.845935127626197
UGGT1	1.001119552456573	7.763516282149972	8.306733018824659	2.4043275745009512e-06	0.00011060081127944477	4.848703526526151
GRAP2	5.75662783408624	-1.0763466263179329	8.304951556153181	2.409709582555035e-06	0.00011060081127944477	5.080139068289872
ERI3	0.8065672969184421	5.998162625710321	8.303173296517485	2.415094766439949e-06	0.00011060081127944477	4.843299678093704
UGT8	3.8301723909280856	3.3609819801482406	8.30054578949433	2.423075337930889e-06	0.00011066474783859907	5.120065885529703
METTL5	1.124221409967312	5.127325680254552	8.277009339623799	2.4958338409058486e-06	0.00011276204130135645	4.854264967785011
NOCT	1.8248564028925784	3.3264163070285218	8.267680557116595	2.52531553044301e-06	0.00011334514419909537	5.082222920946886
SF3A3	1.0446430608836277	7.323786794928964	8.255899022337733	2.5630818807485323e-06	0.00011334514419909537	4.7793084704640965
POU4F1	7.819836597704645	0.4790287259886461	8.253815528855785	2.5698232570722836e-06	0.00011334514419909537	5.150650284459337
ITGA4	4.628006072963213	6.0585461931944	8.25256809881956	2.573868529399926e-06	0.00011334514419909537	4.77533750613908
CBWD5	1.2349890137942965	4.69150564718616	8.251947440876028	2.57588378830476e-06	0.00011334514419909537	4.865441639994439
MRPL12	1.0705082203367935	6.684008109355195	8.251453303754454	2.577489444120625e-06	0.00011334514419909537	4.77012555768757
ULBP2	3.6272183908086326	1.696040114649714	8.249644694568882	2.5833754973430975e-06	0.00011334514419909537	5.161261548200805
CTGF	5.011552823725253	5.4773165795629675	8.24803529590184	2.588625314383036e-06	0.00011334514419909537	4.791060038096285
WDR4	1.2904857767825848	4.3804809065334025	8.247716330530912	2.589667125153366e-06	0.00011334514419909537	4.900304035820314
RFC3	2.15113680195313	5.472577786764868	8.211533213300282	2.710810107553854e-06	0.0001177801768174689	4.743006866499033
DNER	7.680534667451639	2.179450769160895	8.211180477186787	2.7120204931493105e-06	0.0001177801768174689	5.102263060637368
SEMA3A	4.307383855939273	4.459572005582299	8.199355210151134	2.752934220039865e-06	0.000119248879990232	4.825760469801297
UBE2M	1.1017907083766474	7.088092233887604	8.193330017474535	2.7740338721683885e-06	0.00011985395190111596	4.695224449933855
NUP88	1.1053468744673456	5.914187012471357	8.190622452248725	2.7835717566755837e-06	0.00011995766798576034	4.696594509559148
ACTL6A	1.0988613027183725	6.40615980022388	8.152772648366492	2.9206392969190306e-06	0.0001238634944815557	4.6388790484267055
WDR75	1.2082547517397506	6.097244281898179	8.15138671171168	2.9257932593072894e-06	0.0001238634944815557	4.640245099524821
PROCR	1.7347972362969397	5.631014918215245	8.144654459506501	2.950967575792213e-06	0.0001242922761938579	4.645665495272324
TUBA1B	1.5068700605321066	10.874925938417253	8.142829889279868	2.957830113717906e-06	0.0001242922761938579	4.673851614879251
RCC1	1.6309573168102842	6.737394812377297	8.133048564136187	2.9949114965862413e-06	0.0001252126306545397	4.6128501318958515
PLCB4	7.617384564970191	2.5442036224415987	8.122283072313383	3.0362991418471268e-06	0.00012662798927301404	4.970796600444158
KCNH3	4.87689793226604	-0.6679923952651798	8.114567493033158	3.066337398943441e-06	0.00012724921645442571	4.911387258028932
CCT7	0.9278389230699968	8.729460533639429	8.098951264039425	3.128110945361295e-06	0.00012890198857517073	4.585220347005372
NME1	1.4167025689911856	7.572686011909293	8.089817929722267	3.1648553437479693e-06	0.00012925000521928537	4.559231406282107
TMEM120B	0.9764356962986769	5.250372290336117	8.088947211179464	3.1683823496367924e-06	0.00012925000521928537	4.594657886668298
CTPS1	1.7201345987601897	6.890753372290357	8.083488973412901	3.1905878828405573e-06	0.00012984070350339285	4.547325279180961
GPAT3	6.534352754214952	3.9537502045098774	8.0773117745532	3.2159191542074225e-06	0.00013024085114401	4.741484987584991
RNASEH1	1.1953787140159582	5.5452431439448535	8.034317790357955	3.398293558803838e-06	0.00013566536779766297	4.50220700923129
PSMB3	1.0587622910032026	6.512492694207233	8.025806012278	3.4356929848172864e-06	0.0001368333933550335	4.468263011010846
C19ORF48	2.0678647098096734	6.248512125968769	8.022084220372129	3.452183950396501e-06	0.0001371651433908132	4.464592054754213
C2ORF47	1.3836556640886415	4.5146522206088795	8.005273591008306	3.5277315294812003e-06	0.00013919233914936655	4.5598291834273486
SERPIND1	6.5633727072282495	-1.004825759205968	7.979689368220854	3.646118054617962e-06	0.00014351359752684797	4.719361905648563
CHAC2	2.520272114198898	2.6274180022462685	7.974052617749694	3.6727675282182255e-06	0.00014421208062189353	4.773580602918204
CNIH1	0.9931486473092637	6.967224287445425	7.9723149646417655	3.6810247270061474e-06	0.00014421208062189353	4.397754629142071
CCDC58	1.265629101700057	4.104520216628731	7.955278647757642	3.763038649786442e-06	0.00014708230369060634	4.554473756584766
IRAK1	2.299936876240774	7.574794180825698	7.951596670886293	3.7810191984053737e-06	0.00014726788208050583	4.372634125270883
BOLA2B	1.3179672590814304	5.47115727884913	7.946955174464544	3.8038163540130017e-06	0.0001476460541845185	4.388113384350451
